Date,Close,High,Low,Open,Volume,Symbol,Return,MA20,Volatility20
2020-10-26,272.03350830078125,276.7182096470231,268.4351127971686,273.8860593572563,38421100.0,QQQ,,,
2020-10-26,316.4000244140625,319.74683746079165,312.8853827916075,318.95441004602804,91473000.0,SPY,,,
2020-10-27,274.15771484375,274.9821531368368,271.77171885166905,273.0326035825386,30559100.0,QQQ,0.007808620916729403,,
2020-10-27,315.3092956542969,317.080585746798,315.0948653963875,316.7449854652139,65994100.0,SPY,-0.0034473093413489586,,
2020-10-28,263.4690856933594,270.2585257625643,263.2168970189138,269.64747142039835,53413500.0,QQQ,-0.03898715437018563,,
2020-10-28,304.5323181152344,315.3372174361068,304.03822102637105,309.6038191727914,127094300.0,SPY,-0.03417906699102935,,
2020-10-29,268.07635498046875,271.0830850052984,264.3227375888688,264.7883101086615,43246300.0,QQQ,0.017486944530834103,,
2020-10-29,307.62744140625,310.81575753836887,303.06867225462327,304.765393806988,90597700.0,SPY,0.010163529802588833,,
2020-10-30,261.2771301269531,266.9608487678682,259.0366166449959,266.0879264345736,65838300.0,QQQ,-0.02536301589900014,,
2020-10-30,304.42041015625,307.35702560570274,300.7473008041244,306.0425346339721,120287300.0,SPY,-0.010425049323752655,,
2020-11-02,261.859130859375,265.2926279027856,258.9396608651883,263.67287734493533,39987400.0,QQQ,0.002227522677316074,,
2020-11-02,307.8325500488281,309.8462084877659,305.0730373948067,307.8325500488281,86068300.0,SPY,0.011208643634724735,,
2020-11-03,266.3886108398437,268.493350964964,262.69321677651993,263.77952280253584,43604100.0,QQQ,0.01729739179078371,,
2020-11-03,313.2675170898437,315.3371366859289,307.9163505410987,311.08603077780833,93294200.0,SPY,0.017655595680682534,,
2020-11-04,278.27978515625,280.0838223714743,273.3913794639958,275.05964325423105,75728200.0,QQQ,0.04463844861428945,,
2020-11-04,320.26885986328125,324.3708013943451,316.5864185914475,317.770379479061,126959700.0,SPY,0.02234940551282749,,
2020-11-05,285.53485107421875,286.5047713733675,283.2167273514363,284.7007042251492,52054200.0,QQQ,0.026071120882514398,,
2020-11-05,326.5149841308594,328.3329039075465,325.2284597904764,325.58272341467915,82039700.0,SPY,0.019502752375752497,,
2020-11-06,285.7481994628906,286.47563967283946,281.1119817088013,284.8752771308756,40959800.0,QQQ,0.0007471886106695802,,
2020-11-06,326.44049072265625,327.69904866845604,324.10050668381683,326.2260604665925,74973000.0,SPY,-0.00022814698198736494,,
2020-11-09,279.9093017578125,290.1419788994685,279.4534380231656,288.69677749409635,86537100.0,QQQ,-0.020433716524035028,,
2020-11-09,330.5423583984375,339.6971654911377,330.07622803873187,339.3149351821384,172304200.0,SPY,0.012565437782245503,,
2020-11-10,274.8948669433594,278.03739972925734,272.1790719237779,276.5922277307391,69024900.0,QQQ,-0.017914498671401047,,
2020-11-10,330.0576171875,331.12037969112043,326.76673774549005,329.544856684147,85552000.0,SPY,-0.001466502548375881,,
