Date,Close,High,Low,Open,Volume
,SPY,SPY,SPY,SPY,SPY
2020-10-26,316.4000244140625,319.74683746079165,312.8853827916075,318.95441004602804,91473000
2020-10-27,315.3092956542969,317.080585746798,315.0948653963875,316.7449854652139,65994100
2020-10-28,304.5323181152344,315.3372174361068,304.03822102637105,309.6038191727914,127094300
2020-10-29,307.62744140625,310.81575753836887,303.06867225462327,304.765393806988,90597700
2020-10-30,304.42041015625,307.35702560570274,300.7473008041244,306.0425346339721,120287300
2020-11-02,307.8325500488281,309.8462084877659,305.0730373948067,307.8325500488281,86068300
2020-11-03,313.26751708984375,315.3371366859289,307.9163505410987,311.08603077780833,93294200
2020-11-04,320.26885986328125,324.3708013943451,316.5864185914475,317.770379479061,126959700
2020-11-05,326.5149841308594,328.33290390754655,325.2284597904764,325.58272341467915,82039700
2020-11-06,326.44049072265625,327.69904866845604,324.10050668381683,326.2260604665925,74973000
2020-11-09,330.5423583984375,339.69716549113775,330.07622803873187,339.3149351821384,172304200
2020-11-10,330.0576171875,331.12037969112043,326.76673774549005,329.544856684147,85552000
2020-11-11,332.5094909667969,333.3391883318111,331.0085361992471,332.2577623282602,58649000
2020-11-12,329.2838439941406,332.55608865324723,327.4659524226816,331.49329763734,67546200
2020-11-13,333.842529296875,334.58832640287704,330.6821521807107,331.20421584497933,62892200
2020-11-16,338.00982666015625,338.20559347455685,335.2316790566966,336.5275353075786,74541100
2020-11-17,336.1919250488281,337.40388130288846,334.0663713105455,335.58596114697053,66111000
2020-11-18,332.1459045410156,337.0123074631445,332.1086061397919,336.4622769590578,70591300
2020-11-19,333.54425048828125,333.9171490987625,330.16013940874217,331.5119288783694,59940900
2020-11-20,331.2601013183594,333.48821750475605,331.1855329986732,333.28311906270415,70417300
2020-11-23,333.24591064453125,334.5138000241452,330.8313587818934,333.0781105421872,63230600
2020-11-24,338.61572265625,339.1657530390702,334.9519450408349,335.8096089274794,62415900
2020-11-25,338.0936584472656,338.55978878288744,336.9935976832792,338.53182210076363,45330900
2020-11-27,339.0353088378906,339.5107425153413,338.01911949606887,339.19377724692663,28514100
2020-11-30,337.53436279296875,338.52255702297106,334.84014371693416,338.25219340899883,83872700
2020-12-01,341.2260437011719,342.77359984333077,340.2098829744601,340.80654346555957,74231400
2020-12-02,341.9439392089844,342.10240760927593,339.529387204614,340.10738433573124,45927000
2020-12-03,341.8507385253906,343.2491298215101,340.7413458211083,341.84140681263983,62882000
2020-12-04,344.7967224121094,344.7967224121094,342.3448715305177,342.4381033167671,50749900
2020-12-07,344.088134765625,344.58223185090435,342.81094202350715,344.02286968163634,48944300
